"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.70384527373344e-154,1.02590540241027,0.232,0.076,1.13777661985804e-149,"Dysfunctional.CD8","ACAP1"
8.08942178085827e-154,-84.9378599377206,0.067,0.25,1.37293666464727e-149,"Dysfunctional.CD8","MDK"
1.25967783806575e-153,-15.5862267617485,0.126,0.325,2.13792522676519e-149,"Dysfunctional.CD8","ZBTB20"
4.40577408606218e-153,-31.4286920826178,0.116,0.316,7.47747977886473e-149,"Dysfunctional.CD8","ATOX1"
5.70790852621796e-152,-21.7101799981648,0.043,0.21,9.68746235069713e-148,"Dysfunctional.CD8","COL18A1"
1.42962444156962e-151,-82.0815239179523,0.455,0.23,2.42635860223196e-147,"Dysfunctional.CD8","ISG20"
9.05021108604785e-151,0.620712845884668,0.248,0.084,1.53600182552404e-146,"Dysfunctional.CD8","TRAF3IP3"
4.94066965221969e-150,-14.8048751985986,0.091,0.281,8.38530453374726e-146,"Dysfunctional.CD8","CD151"
3.27924090164397e-149,-719.095968666847,0.128,0.326,5.56552765827015e-145,"Dysfunctional.CD8","TAGLN"
3.32546389782113e-149,-72.0628044609804,0.054,0.227,5.64397732738202e-145,"Dysfunctional.CD8","EMP1"
3.95703112380722e-149,-43.1885941535862,0.056,0.227,6.71587322332561e-145,"Dysfunctional.CD8","EPAS1"
7.20282877768837e-148,-1.53844560143346,0.059,0.234,1.22246410014927e-143,"Dysfunctional.CD8","IRF2BP2"
1.04261873661419e-147,-70.4655736469262,0.194,0.404,1.7695325197816e-143,"Dysfunctional.CD8","GLUL"
5.15558104527576e-147,-12.6205732004185,0.144,0.348,8.75005215004202e-143,"Dysfunctional.CD8","CANX"
3.72783459480545e-145,-340.314777799292,0.067,0.247,6.32688087430382e-141,"Dysfunctional.CD8","SERPINA1"
5.62621381288312e-144,-2.62188552601811,0.364,0.165,9.54881008322524e-140,"Dysfunctional.CD8","STK17A"
1.22895774029194e-143,-23.78197958089,0.207,0.411,2.08578707682348e-139,"Dysfunctional.CD8","SDCBP"
2.37265046758371e-143,-28.302429128973,0.152,0.338,4.02686237358307e-139,"Dysfunctional.CD8","SELENOM"
2.87817207060667e-142,-86.513122788228,0.046,0.207,4.88483363823365e-138,"Dysfunctional.CD8","C3"
3.18332027789597e-142,-13.9563655766967,0.359,0.163,5.40273117564505e-138,"Dysfunctional.CD8","ITM2A"
1.85057317772104e-141,-92.6748130935438,0.312,0.507,3.14079279722815e-137,"Dysfunctional.CD8","PRDX1"
6.52837197837785e-141,-119.704519739178,0.086,0.265,1.10799529217029e-136,"Dysfunctional.CD8","IFI30"
1.74015829453099e-140,-1.08005921115704,0.079,0.264,2.953396657478e-136,"Dysfunctional.CD8","IER3"
1.85015195706881e-140,-408.362687708597,0.409,0.596,3.14007790153719e-136,"Dysfunctional.CD8","HLA-DRA"
6.27593449232892e-139,0.517307545931182,0.243,0.086,1.06515160203806e-134,"Dysfunctional.CD8","EMB"
7.13065941478681e-139,-111.658691259162,0.257,0.449,1.21021551587762e-134,"Dysfunctional.CD8","DSTN"
1.61856829101794e-138,-12.7801256369701,0.124,0.313,2.74703410351565e-134,"Dysfunctional.CD8","LPP"
1.85454430128014e-137,-9.895234126082,0.081,0.261,3.14753258813266e-133,"Dysfunctional.CD8","CTSH"
1.09820055310843e-136,-5.41907660956284,0.068,0.236,1.86386597873563e-132,"Dysfunctional.CD8","PTTG1IP"
8.43622776738084e-136,-73.1399351001474,0.066,0.223,1.43179657667988e-131,"Dysfunctional.CD8","AIF1"
1.27185122639825e-135,-13.908927774862,0.065,0.234,2.15858590144311e-131,"Dysfunctional.CD8","HCFC1R1"
1.35604380730989e-135,2.49682042804911,0.282,0.113,2.30147754976634e-131,"Dysfunctional.CD8","TUBA4A"
4.21955059491035e-135,-89.5307217018934,0.071,0.247,7.16142126968184e-131,"Dysfunctional.CD8","RARRES2"
1.14268752190878e-134,-11.3996426128902,0.072,0.24,1.93936926218358e-130,"Dysfunctional.CD8","SPATS2L"
1.41255551141763e-134,-11.8372344499825,0.099,0.281,2.39738921397801e-130,"Dysfunctional.CD8","HIF1A"
5.39711023084146e-134,0.572044943436071,0.242,0.086,9.15997548378412e-130,"Dysfunctional.CD8","IKZF1"
2.97446459621641e-133,0.283361335348654,0.349,0.159,5.0482613126985e-129,"Dysfunctional.CD8","PIK3IP1"
2.9782223350604e-133,-17.910139456479,0.054,0.213,5.05463894706451e-129,"Dysfunctional.CD8","NR4A1"
4.8227863996354e-132,-109.500182417869,0.071,0.24,8.18523307746121e-128,"Dysfunctional.CD8","MARCKSL1"
9.18909966134633e-132,-264.810899258739,0.124,0.309,1.5595739945237e-127,"Dysfunctional.CD8","ANXA4"
9.19881834433555e-132,-31.8923556422792,0.057,0.215,1.56122344940063e-127,"Dysfunctional.CD8","HSPG2"
