"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPX4",9.65065798119534e-22,-0.69600827224782,0.407,0.707,1.63790967256847e-17,"0","GPX4"
"WDPCP",1.01476250349638e-21,1.38818041837365,0.293,0.169,1.72225492093405e-17,"0","WDPCP"
"CAPZA1",1.05383374177646e-21,0.266684974293113,0.247,0.398,1.78856662654301e-17,"0","CAPZA1"
"TMEM176A.1",1.17006581181837e-21,-0.534108183639989,0.073,0.284,1.98583569581813e-17,"0","TMEM176A"
"GMFG",1.28461813647131e-21,-0.406904489441722,0.33,0.605,2.18025390121911e-17,"0","GMFG"
"PSMA2",1.3576003886587e-21,-0.516616475681686,0.187,0.452,2.30411937963154e-17,"0","PSMA2"
"GNAI2.1",1.68346530789078e-21,0.357840288712379,0.34,0.459,2.85717732055223e-17,"0","GNAI2"
"PABPC1.1",2.09900775782488e-21,-0.363232017873769,0.45,0.726,3.56243596658039e-17,"0","PABPC1"
"SLC25A3",2.11524441693855e-21,-0.406414874129826,0.213,0.472,3.5899928244281e-17,"0","SLC25A3"
"HINT1.1",2.28407294395646e-21,-0.433004656721441,0.313,0.6,3.8765286004829e-17,"0","HINT1"
"MSN",2.64490423299177e-21,0.36751824304347,0.287,0.404,4.48893146423363e-17,"0","MSN"
"FAM177A1.1",2.65320238711906e-21,0.324383417613356,0.15,0.265,4.50301509141847e-17,"0","FAM177A1"
"VDAC2",3.02409125545642e-21,-0.323925759076887,0.143,0.367,5.13248767876064e-17,"0","VDAC2"
"NACA",3.04696717537607e-21,-0.25037705747975,0.66,0.89,5.17131269004827e-17,"0","NACA"
"TIMP1.1",3.07326551581801e-21,-1.02421369458132,0.44,0.729,5.21594623344633e-17,"0","TIMP1"
"ZNHIT1",3.53583807111581e-21,-0.326819518236646,0.147,0.37,6.00102437429776e-17,"0","ZNHIT1"
"ATP6V0B",3.7461492680551e-21,-0.533254513649021,0.303,0.595,6.35796453774311e-17,"0","ATP6V0B"
"COX14",3.81501992060884e-21,-0.472300711501876,0.117,0.354,6.47485180925732e-17,"0","COX14"
"HLA-B",4.26315977914913e-21,-0.578697736903435,0.77,0.945,7.2354347771719e-17,"0","HLA-B"
"ENO1.1",5.01343826437718e-21,-0.665627893925932,0.303,0.6,8.50880742230095e-17,"0","ENO1"
"LAMTOR2",5.73699956184945e-21,-0.386580220014014,0.173,0.428,9.73683565637089e-17,"0","LAMTOR2"
"SERPINB1",6.60338566751701e-21,-0.523397218885791,0.147,0.387,1.12072661549099e-16,"0","SERPINB1"
"NDUFA11",7.64878348109649e-21,-0.499919394841708,0.22,0.488,1.2981515324117e-16,"0","NDUFA11"
"SNRPE",7.74754162029591e-21,-0.492658645472753,0.17,0.425,1.31491276379662e-16,"0","SNRPE"
"LY86",8.79390157879104e-21,-0.788456820486036,0.11,0.359,1.49250097595242e-16,"0","LY86"
"CD44.1",8.84084393515243e-21,-0.383500535235139,0.267,0.523,1.50046803267407e-16,"0","CD44"
