"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ACTB",1.62195330890481e-279,-1.28300883456106,0.827,0.973,2.65384000403004e-275,"6","ACTB"
"CPEB4",3.63514523406901e-267,0.551741203019434,0.324,0.028,5.94782463198371e-263,"6","CPEB4"
"PDK1",2.50691825901081e-265,0.479294646903961,0.303,0.022,4.10181965539349e-261,"6","PDK1"
"NUCB2",2.27344591039064e-256,0.753782792482975,0.474,0.112,3.71981219858116e-252,"6","NUCB2"
"MYDGF",3.30272357969299e-253,0.892282287289532,0.517,0.148,5.40391632109368e-249,"6","MYDGF"
"SEL1L",3.60141055376733e-248,0.500347476791964,0.345,0.037,5.89262794807411e-244,"6","SEL1L"
"TXNDC15",6.17825528135013e-248,0.573186078795047,0.366,0.063,1.01088612913451e-243,"6","TXNDC15"
"CCL5",6.30804052859723e-236,-1.83337029587718,0.287,0.673,1.03212159128908e-231,"6","CCL5"
"HSPA5",7.86820565241226e-233,0.995944567695124,0.553,0.173,1.28739580884769e-228,"6","HSPA5"
"ELL2",1.698430805456e-232,0.446484289136467,0.291,0.023,2.77897248388711e-228,"6","ELL2"
"CXCR4",1.33699422111606e-230,-1.27321730147372,0.439,0.804,2.18758994459009e-226,"6","CXCR4"
"RABAC1",5.39909028974753e-229,0.84958966273115,0.651,0.283,8.8339915320849e-225,"6","RABAC1"
"TMEM59",4.16891247495725e-225,0.877960469389724,0.697,0.383,6.82117459152505e-221,"6","TMEM59"
"CLPTM1L",3.72291159840655e-224,0.426200443726311,0.302,0.029,6.0914279573128e-220,"6","CLPTM1L"
"TMEM258",5.04106649041177e-223,0.914848736431949,0.716,0.384,8.24819299161174e-219,"6","TMEM258"
"ARHGDIB",3.01774755469847e-220,-0.988764691315002,0.345,0.742,4.93763854899763e-216,"6","ARHGDIB"
"SLAMF7",8.31203259323873e-214,0.3973703388829,0.269,0.023,1.36001477290572e-209,"6","SLAMF7"
"CD3D",2.26898604367167e-213,-1.219903174672,0.103,0.508,3.71251496465559e-209,"6","CD3D"
"GAS6",3.42706415191573e-213,0.446643122282546,0.304,0.032,5.60736236536451e-209,"6","GAS6"
"POU2AF1",3.30091792629192e-206,0.541063291737905,0.366,0.06,5.40096191099885e-202,"6","POU2AF1"
"KDELR2",1.08154441735651e-205,0.676202738663277,0.494,0.141,1.76962297567872e-201,"6","KDELR2"
"UBE2J1",1.33191366218851e-204,0.577782450911262,0.403,0.077,2.17927713407284e-200,"6","UBE2J1"
"PECAM1",4.65588330820649e-203,0.488606562697796,0.307,0.042,7.61795626888746e-199,"6","PECAM1"
"PDIA4",4.43649118802426e-202,0.617332830094829,0.41,0.088,7.2589868818453e-198,"6","PDIA4"
"RPN1",1.90659385000913e-200,0.568704628800359,0.398,0.078,3.11956885738494e-196,"6","RPN1"
"CD2",3.6959234532642e-197,-0.966999105126561,0.078,0.471,6.04726995423089e-193,"6","CD2"
"ST6GAL1",2.22405919912736e-196,0.511996965698157,0.316,0.053,3.63900566161218e-192,"6","ST6GAL1"
"PTPRC",3.00786254099041e-196,-0.799082046173629,0.096,0.505,4.92146468956851e-192,"6","PTPRC"
"TRAM1",2.9593545654191e-191,0.660371638014343,0.526,0.174,4.84209593993873e-187,"6","TRAM1"
"SEC62",1.56059018913284e-190,0.777737107385294,0.702,0.349,2.55343766745915e-186,"6","SEC62"
"CORO1A",9.96059428315622e-190,-0.925410507766488,0.204,0.607,1.62975243661002e-185,"6","CORO1A"
"RPN2",2.52326844369824e-189,0.65848404316227,0.466,0.138,4.12857182757906e-185,"6","RPN2"
"IL32",1.25598886153636e-188,-1.41791292212798,0.297,0.638,2.05504897524579e-184,"6","IL32"
"PSAP",1.14180432056297e-186,0.844152521197029,0.66,0.286,1.86822022930513e-182,"6","PSAP"
"NPC2",3.71058399838032e-186,0.791525973252639,0.603,0.232,6.07125753814987e-182,"6","NPC2"
"PDIA6",1.10672570010783e-183,0.753808552001809,0.516,0.188,1.81082459051642e-179,"6","PDIA6"
"TXNDC11",3.95560874935851e-183,0.388088857717945,0.281,0.035,6.4721670357004e-179,"6","TXNDC11"
"TMED10",4.51349212649446e-183,0.687429329032893,0.509,0.167,7.38497581737023e-179,"6","TMED10"
"EVL",1.91957399657522e-181,-0.732791184132005,0.088,0.477,3.14080697319638e-177,"6","EVL"
"KLF13",3.74994539122286e-181,0.500491044525848,0.355,0.072,6.13566064911885e-177,"6","KLF13"
"CD79A",1.34778689064317e-178,0.817049417898847,0.639,0.236,2.20524891047036e-174,"6","CD79A"
"CHPF",1.03136210279626e-177,0.384056342496189,0.259,0.027,1.68751467259524e-173,"6","CHPF"
